date,price,type,bedrooms
2010-02-07,525000,house,4
2010-02-27,290000,house,3
2010-03-07,328000,house,3
2010-03-09,380000,house,4
2010-03-21,310000,house,3
2010-04-04,465000,house,4
2010-04-24,399000,house,3
2010-04-30,1530000,house,4
2010-05-24,359000,house,3
2010-05-25,320000,house,3
2010-06-26,385000,house,3
2010-06-27,305000,house,3
2010-06-27,850000,house,4
2010-06-28,765000,house,4
2010-06-30,517000,house,4
2010-07-02,800000,house,5
2010-07-03,336000,house,3
2010-07-06,535000,house,5
2010-07-07,900000,house,4
2010-07-08,327000,house,1
2010-07-12,427500,house,3
2010-07-13,780000,house,3
2010-07-18,530000,house,3
2010-07-18,590000,house,3
2010-07-20,525000,house,3
2010-07-20,549000,house,4
2010-07-21,1780000,house,4
2010-07-30,446000,house,3
2010-07-30,558000,house,4
2010-07-31,506000,house,3
2010-07-31,520000,house,4
2010-08-03,383000,house,3
2010-08-03,520000,house,3
2010-08-07,815000,house,5
2010-08-10,545500,house,3
2010-08-10,760000,house,3
2010-08-11,520000,house,3
2010-08-11,636000,house,3
2010-08-14,625000,house,4
2010-08-16,790000,house,4
2010-08-21,320000,house,3
2010-08-21,418000,house,5
2010-08-21,455000,house,4
2010-08-23,560000,house,4
2010-08-24,585000,house,4
2010-08-28,325000,house,2
2010-08-28,420000,house,4
2010-08-29,599000,house,3
2010-08-30,315000,house,2
2010-08-30,367000,house,3
2010-08-31,348000,house,3
2010-08-31,532500,house,4
2010-09-03,465000,house,3
2010-09-04,820000,house,4
2010-09-06,590000,house,3
2010-09-11,559000,house,4
2010-09-15,446000,house,4
2010-09-18,470000,house,3
2010-09-20,396500,house,4
2010-09-20,479000,house,3
2010-09-21,1460000,house,5
2010-09-22,500000,house,4
2010-09-22,506000,house,4
2010-09-22,520000,house,4
2010-09-24,920000,house,4
2010-09-27,507000,house,4
2010-10-02,475000,house,3
2010-10-09,397000,house,3
2010-10-10,556000,house,3
2010-10-12,447000,house,4
2010-10-12,720000,house,4
2010-10-15,273000,house,1
2010-10-16,368000,house,3
2010-10-16,385000,house,3
2010-10-17,560000,house,5
2010-10-19,455000,house,4
2010-10-19,480000,house,4
2010-10-24,300500,house,3
2010-10-24,505000,house,3
2010-10-25,135500,house,1
2010-10-25,590000,house,4
2010-10-25,645000,house,5
2010-10-25,770000,house,4
2010-10-26,1100000,house,5
2010-11-02,365000,house,3
2010-11-02,612500,house,4
2010-11-05,472500,house,4
2010-11-05,600000,house,5
2010-11-07,372500,house,3
2010-11-08,395000,house,3
2010-11-08,497000,house,2
2010-11-08,595000,house,4
2010-11-12,465000,house,2
2010-11-12,505000,house,4
2010-11-16,379000,house,3
2010-11-16,505000,house,3
2010-11-17,380000,house,3
2010-11-17,655000,house,4
2010-11-17,760000,house,3
2010-11-17,760500,house,3
2010-11-20,442500,house,4
2010-11-22,560000,house,4
2010-11-23,560000,house,4
2010-11-24,335000,house,3
2010-11-24,575000,house,3
2010-11-27,439000,house,3
2010-11-29,308000,house,1
2010-11-29,353000,house,3
2010-11-30,425000,house,3
2010-11-30,825000,house,3
2010-12-01,930000,house,5
2010-12-03,365000,house,3
2010-12-03,387000,house,3
2010-12-04,620000,house,4
2010-12-05,825000,house,3
2010-12-06,335000,house,3
2010-12-07,350000,house,3
2010-12-08,421000,house,3
2010-12-08,545000,house,4
2010-12-12,635000,house,4
2010-12-13,357500,house,3
2010-12-13,400000,house,4
2010-12-13,1105000,house,4
2010-12-14,259000,house,2
2010-12-14,437500,house,3
2010-12-15,530000,house,4
2010-12-19,630000,house,3
2010-12-20,615000,house,4
2010-12-21,332000,house,3
2010-12-21,490000,house,3
2011-01-02,309000,house,2
2011-01-14,413000,house,3
2011-01-15,445000,house,4
2011-01-15,600000,house,4
2011-01-17,417500,house,2
2011-01-17,462500,house,4
2011-01-17,485000,house,4
2011-01-18,580000,house,4
2011-01-23,380000,house,1
2011-01-24,560000,house,4
2011-01-24,575000,house,4
2011-01-24,1035000,house,4
2011-01-30,485000,house,3
2011-02-01,599000,house,4
2011-02-04,349000,house,3
2011-02-07,360000,house,3
2011-02-07,375000,house,3
2011-02-07,405000,house,3
2011-02-08,395000,house,3
2011-02-09,417000,house,3
2011-02-09,560000,house,3
2011-02-09,650000,house,4
2011-02-11,416000,house,4
2011-02-12,749000,house,4
2011-02-15,575000,house,4
2011-02-15,625000,house,3
2011-02-16,610000,house,5
2011-02-19,445000,house,4
2011-02-21,655000,house,5
2011-02-23,500000,house,4
2011-02-23,515000,house,2
2011-02-23,811000,house,5
2011-02-27,590000,house,4
2011-02-27,645000,house,5
2011-02-27,730000,house,4
2011-02-28,342000,house,3
2011-02-28,471000,house,4
2011-02-28,488000,house,3
2011-03-13,646000,house,4
2011-03-14,655000,house,4
2011-03-15,580000,house,3
2011-03-19,405000,house,3
2011-03-20,695000,house,4
2011-04-09,420000,house,4
2011-04-09,503000,house,3
2011-04-10,380000,house,3
2011-04-11,334000,house,3
2011-04-11,395000,house,3
2011-04-11,467500,house,4
2011-04-14,522500,house,3
2011-04-14,635000,house,5
2011-04-14,690000,house,4
2011-04-14,780000,house,4
2011-04-15,679000,house,5
2011-04-18,467000,house,3
2011-04-21,649000,house,5
2011-04-22,675000,house,4
2011-04-23,415000,house,3
2011-04-23,445000,house,4
2011-04-24,292500,house,1
2011-04-24,450000,house,3
2011-04-29,680000,house,4
2011-04-29,950000,house,4
2011-04-30,485000,house,3
2011-05-01,640000,house,4
2011-05-02,332000,house,2
2011-05-02,622500,house,4
2011-05-02,775000,house,4
2011-05-05,575000,house,2
2011-05-05,690000,house,3
2011-05-09,465000,house,3
2011-05-12,635000,house,5
2011-05-13,307000,house,2
2011-05-14,450000,house,3
2011-05-16,442000,house,3
2011-05-16,490000,house,3
2011-05-17,865000,house,5
2011-05-19,430000,house,4
2011-05-23,444000,house,3
2011-05-27,535000,house,3
2011-05-28,542000,house,4
2011-05-30,357000,house,3
2011-06-02,429000,house,3
2011-06-02,1180000,house,4
2011-06-03,375000,house,4
2011-06-06,526000,house,3
2011-06-06,760000,house,3
2011-06-10,447250,house,3
2011-06-10,492500,house,3
2011-06-10,727500,house,4
2011-06-11,360100,house,4
2011-06-11,750000,house,3
2011-06-13,365000,house,3
2011-06-13,670000,house,4
2011-06-14,419000,house,4
2011-06-14,515000,house,3
2011-06-17,340000,house,3
2011-06-17,600000,house,4
2011-06-18,362000,house,4
2011-06-19,765000,house,5
2011-06-19,770000,house,4
2011-06-20,469000,house,4
2011-06-23,367000,house,3
2011-06-24,465000,house,4
2011-06-25,375000,house,3
2011-06-25,505000,house,4
2011-06-25,605000,house,3
2011-06-26,325000,house,3
2011-06-27,421000,house,3
2011-06-27,550000,house,4
2011-06-27,590000,house,4
2011-06-29,522500,house,4
2011-06-30,480000,house,2
2011-06-30,1165000,house,5
2011-07-01,670000,house,4
2011-07-04,375000,house,3
2011-07-07,392500,house,4
2011-07-07,445000,house,4
2011-07-08,383000,house,3
2011-07-10,418000,house,3
2011-07-10,860000,house,2
2011-07-11,418000,house,3
2011-07-11,442000,house,4
2011-07-14,360000,house,3
2011-07-14,495000,house,4
2011-07-16,468000,house,3
2011-07-16,605000,house,3
2011-07-16,1090000,house,4
2011-07-17,558000,house,4
2011-07-18,700000,house,3
2011-07-18,1300000,house,4
2011-07-19,320000,house,3
2011-07-23,415000,house,3
2011-07-23,480000,house,4
2011-07-23,553000,house,4
2011-07-23,885000,house,4
2011-07-25,370000,house,4
2011-07-26,564000,house,3
2011-07-28,365000,house,3
2011-07-29,927000,house,4
2011-07-30,360000,house,3
2011-07-30,390000,house,4
2011-07-31,440000,house,4
2011-08-01,430000,house,3
2011-08-01,595000,house,3
2011-08-04,365000,house,3
2011-08-04,585000,house,3
2011-08-04,602500,house,4
2011-08-05,359000,house,3
2011-08-05,475000,house,3
2011-08-06,315000,house,3
2011-08-06,320000,house,4
2011-08-06,325000,house,4
2011-08-06,341000,house,3
2011-08-06,540000,house,4
2011-08-07,395000,house,4
2011-08-09,370000,house,3
2011-08-09,620000,house,4
2011-08-09,631000,house,4
2011-08-11,405000,house,4
2011-08-12,548000,house,3
2011-08-13,405000,house,4
2011-08-13,420000,house,3
2011-08-13,531500,house,4
2011-08-14,350000,house,2
2011-08-15,365000,house,3
2011-08-15,375000,house,3
2011-08-15,402000,house,3
2011-08-15,420000,house,3
2011-08-15,550000,house,2
2011-08-15,585000,house,4
2011-08-18,279500,house,2
2011-08-19,330000,house,3
2011-08-19,360000,house,3
2011-08-19,370000,house,3
2011-08-20,405000,house,3
2011-08-21,395000,house,3
2011-08-21,490000,house,4
2011-08-21,530000,house,5
2011-08-21,680000,house,4
2011-08-22,495000,house,4
2011-08-22,805000,house,4
2011-08-23,630000,house,4
2011-08-25,400000,house,3
2011-08-27,345000,house,3
2011-08-27,440000,house,3
2011-08-27,510000,house,4
2011-08-28,310000,house,3
2011-08-29,370000,house,4
2011-08-29,465000,house,4
2011-08-30,342000,house,3
2011-09-01,380000,house,3
2011-09-02,345000,house,3
2011-09-02,370000,house,4
2011-09-02,495000,house,4
2011-09-02,541000,house,4
2011-09-02,1380000,house,5
2011-09-03,372000,house,3
2011-09-03,415000,house,3
2011-09-04,335000,house,3
2011-09-04,1150000,house,5
2011-09-05,387000,house,3
2011-09-05,395000,house,3
2011-09-05,400000,house,4
2011-09-05,426000,house,3
2011-09-05,552000,house,4
2011-09-08,349000,house,3
2011-09-08,360500,house,3
2011-09-08,740000,house,3
2011-09-10,371600,house,4
2011-09-11,380000,house,3
2011-09-11,450000,house,3
2011-09-12,427000,house,4
2011-09-13,477000,house,4
2011-09-13,479000,house,3
2011-09-15,321000,house,2
2011-09-15,405000,house,3
2011-09-16,357000,house,3
2011-09-16,360000,house,4
2011-09-16,365000,house,3
2011-09-16,585000,house,4
2011-09-17,343000,house,3
2011-09-17,410000,house,3
2011-09-17,420000,house,4
2011-09-17,420000,house,3
